取引番号,個別損益,累積損益,DD
1,-9976,-9976,9976
2,18360,8384,0
3,0,8384,0
4,0,8384,0
5,0,8384,0
6,-9979,-1595,9979
7,-9988,-11583,19967
8,-9989,-21572,29956
9,0,-21572,29956
10,3102,-18470,26854
11,-9975,-28445,36829
12,-9989,-38435,46819
13,0,-38435,46819
14,-9980,-48414,56798
15,-9986,-58400,66784
16,0,-58400,66784
17,-9999,-68399,76783
18,-9939,-78339,86723
19,-9979,-88318,96702
20,-9923,-98241,106625
21,-9999,-108240,116624
22,-9986,-118226,126610
23,29938,-88288,96671
24,-9840,-98128,106512
25,29739,-68389,76773
26,-9982,-78371,86754
27,29754,-48617,57000
28,-9833,-58450,66834
29,-9786,-68236,76620
30,29991,-38245,46629
31,0,-38245,46629
32,29573,-8672,17056
33,29554,20882,0
34,29893,50775,0
35,-9985,40791,9985
36,-9927,30864,19911
37,29232,60096,0
38,-9988,50108,9988
39,-9909,40199,19897
40,-9954,30246,29850
41,0,30246,29850
42,29811,60057,39
43,29824,89880,0
44,-9904,79977,9904
45,29959,109936,0
46,-9958,99977,9958
47,29970,129948,0
48,0,129948,0
49,0,129948,0
50,0,129948,0
51,-9842,120105,9842
52,22096,142201,0
53,-9986,132215,9986
54,0,132215,9986
55,-9875,122339,19861
56,-9907,112433,29768
57,0,112433,29768
58,-9962,102471,39730
59,-9970,92501,49700
60,29624,122125,20075
61,0,122125,20075
62,-9974,112152,30049
63,-9976,102176,40025
64,-9984,92191,50010
65,0,92191,50010
66,7700,99891,42310
67,0,99891,42310
68,29829,129720,12481
69,29944,159664,0
70,0,159664,0
71,29921,189584,0
72,-9655,179929,9655
73,29825,209755,0
74,29812,239566,0
75,-9967,229599,9967
76,-9980,219619,19947
77,-9952,209667,29900
78,29852,239518,48
79,0,239518,48
80,29887,269405,0
81,-9701,259704,9701
82,0,259704,9701
83,29991,289695,0
84,-9931,279764,9931
85,-9964,269800,19895
86,-9978,259822,29873
87,0,259822,29873
88,-9940,249882,39813
89,0,249882,39813
90,-9777,240105,49590
91,29626,269730,19964
92,6992,276722,12972
93,16280,293002,0
94,-10000,283003,10000
95,0,283003,10000
96,-9988,273015,19987
97,6500,279515,13487
98,29873,309388,0
99,29900,339288,0
100,29984,369272,0
101,29828,399100,0
102,29990,429090,0
103,13320,442410,0
104,29983,472394,0
105,-9995,462399,9995
106,0,462399,9995
107,-9958,452441,19953
108,5280,457721,14673
109,-9918,447803,24591
110,-9992,437811,34583
111,21120,458931,13463
112,-9973,448958,23435
113,29951,478909,0
114,29455,508364,0
115,16640,525004,0
116,1884,526888,0
117,-9954,516934,9954
118,21840,538774,0
119,4575,543349,0
120,29977,573326,0
121,4779,578105,0
122,5600,583705,0
123,-6503,577202,6503
124,1872,579074,4631
125,0,579074,4631
126,-9854,569220,14485
127,-9986,559234,24470
128,-9986,549248,34457
129,0,549248,34457
130,-9984,539264,44441
131,-9758,529506,54199
132,0,529506,54199
133,0,529506,54199
134,0,529506,54199
135,0,529506,54199
136,-9996,519510,64195
137,29983,549493,34212
138,-9915,539578,44127
139,-9964,529613,54091
140,-9974,519639,64066
141,-9972,509667,74038
142,-9994,499673,84032
143,-9909,489764,93941
144,-9996,479768,103937
145,-9952,469816,113889
146,-9993,459822,123882
147,-9990,449833,133872
148,-9991,439842,143863
149,-9994,429848,153857
150,0,429848,153857
151,-9982,419867,163838
152,-9937,409929,173775
153,0,409929,173775
154,29624,439553,144152
155,0,439553,144152
156,0,439553,144152
157,29947,469500,114205
158,0,469500,114205
159,0,469500,114205
160,0,469500,114205
161,0,469500,114205
162,0,469500,114205
163,0,469500,114205
164,0,469500,114205
165,-9945,459555,124150
166,-9991,449564,134141
167,-9994,439570,144135
168,-9995,429575,154130
169,0,429575,154130
170,-9996,419579,164126
171,0,419579,164126
172,-9941,409638,174067
173,0,409638,174067
174,-9986,399652,184052
175,-9983,389669,194036
176,29617,419286,164418
177,0,419286,164418
178,-9988,409298,174407
179,0,409298,174407
180,29999,439297,144408
181,-9967,429330,154374
182,14769,444099,139605
183,0,444099,139605
184,29911,474011,109694
185,0,474011,109694
186,-10000,464011,119694
187,-10000,454011,129693
188,-9748,444264,139441
189,-9986,434277,149427
190,-9996,424281,159423
191,-9693,414589,169116
192,29899,444487,139217
193,0,444487,139217
194,-9762,434725,148980
195,-9992,424733,158972
196,23400,448133,135572
197,29927,478060,105644
198,29221,507281,76424
199,0,507281,76424
200,22814,530095,53610
201,0,530095,53610
202,0,530095,53610
203,-9988,520108,63597
204,-9982,510125,73579
205,-9990,500136,83569
206,0,500136,83569
207,-9995,490141,93564
208,29686,519827,63878
209,0,519827,63878
210,-9984,509843,73862
211,0,509843,73862
212,-9863,499980,83725
213,0,499980,83725
214,29815,529795,53910
215,29993,559788,23916
216,0,559788,23916
217,0,559788,23916
218,-9936,549853,33852
219,-9986,539867,43838
220,0,539867,43838
221,-9944,529923,53782
222,-9900,520022,63682
223,-9987,510035,73670
224,0,510035,73670
225,-9974,500061,83644
226,-9993,490068,93637
227,29665,519733,63972
228,-9975,509758,73946
229,0,509758,73946
230,-9988,499771,83934
231,0,499771,83934
232,29966,529737,53968
233,-9985,519752,63953
234,-9979,509773,73932
235,-9924,499849,83856
236,0,499849,83856
237,0,499849,83856
238,-9953,489896,93808
239,-9951,479946,103759
240,-9930,470016,113689
241,0,470016,113689
242,-9996,460019,123686
243,-9983,450036,133669
244,-9944,440092,143613
245,-9930,430162,153543
246,-9989,420173,163532
247,-9978,410194,173511
248,-9995,400199,183506
249,-9989,390210,193495
250,-9745,380465,203240
251,29961,410426,173279
252,29937,440363,143342
253,29859,470222,113482
254,29876,500098,83606
255,0,500098,83606
256,0,500098,83606
257,29987,530085,53620
258,0,530085,53620
259,29984,560069,23636
260,0,560069,23636
261,29975,590045,0
262,-9991,580053,9991
263,29788,609841,0
264,29924,639765,0
265,0,639765,0
266,29994,669759,0
267,0,669759,0
268,0,669759,0
269,-9974,659786,9974
270,29842,689628,0
271,0,689628,0
272,-9848,679779,9848
273,-9963,669816,19812
274,0,669816,19812
275,-10000,659816,29811
276,0,659816,29811
277,-9938,649879,39749
278,-9882,639997,49631
279,-9974,630022,59606
280,-9932,620090,69538
281,-9956,610134,79494
282,0,610134,79494
283,29395,639529,50099
284,29349,668878,20749
285,-9982,658896,30732
286,0,658896,30732
287,-9994,648902,40726
288,-9986,638917,50711
289,-9991,628925,60703
290,29956,658881,30747
291,-9906,648975,40653
292,-9936,639039,50588
293,29609,668649,20979
294,-9994,658655,30973
295,0,658655,30973
296,0,658655,30973
297,0,658655,30973
298,-9654,649001,40627
299,-9987,639014,50613
300,-9987,629027,60601
301,-9882,619145,70483
302,-9892,609253,80375
303,29880,639133,50495
304,-9914,629219,60409
305,29802,659021,30607
306,-9992,649029,40599
307,-9981,639048,50580
308,13392,652440,37188
309,0,652440,37188
310,0,652440,37188
311,-9982,642458,47170
312,0,642458,47170
313,-9974,632484,57144
314,-9988,622495,67132
315,-9964,612532,77096
316,-9950,602582,87046
317,-9801,592781,96847
318,0,592781,96847
319,-9979,582802,106826
320,-9797,573005,116623
321,-9994,563011,126617
322,-9972,553039,136589
323,-9972,543068,146560
324,-9995,533073,156555
325,-9994,523079,166549
326,-9998,513081,176546
327,-9913,503168,186460
328,-9990,493178,196450
329,-9994,483184,206444
330,0,483184,206444
331,0,483184,206444
332,-9909,473275,216353
333,0,473275,216353
334,0,473275,216353
335,0,473275,216353
336,29964,503239,186389
337,-9899,493340,196288
338,0,493340,196288
339,-9987,483353,206275
340,29974,513327,176301
341,-9966,503361,186267
342,29625,532986,156642
343,29645,562630,126998
344,29951,592581,97047
345,29974,622555,67073
346,0,622555,67073
347,29926,652481,37147
348,-9988,642492,47136
349,-9994,632499,57129
350,-9979,622519,67109
351,0,622519,67109
352,29419,651939,37689
