ID,日付,銘柄コード,銘柄名,方向,信頼度,エントリー時刻,エントリー価格,エグジット時刻,エグジット価格,損益(円),損益(%),エグジット理由,シグナル理由,BE発動,セッション,保有バー数,ロット数,最大含み益(%),最大含み損(%)
8,2026-06-17,9984,ソフトバンクG,short,medium,12:29,6833.0,12:36,6867.2,-9976,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,7,29200,0.000,-0.541
12,2026-06-17,8316,三井住友FG,short,medium,13:09,6525.0,15:20,6465.0,18360,0.920,TIME,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,131,30600,1.027,0.000
3,2026-06-17,6976,太陽誘電,short,medium,13:10,20100.0,13:26,20100.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,16,9900,1.318,-0.199
9,2026-06-17,9984,ソフトバンクG,short,medium,13:22,6877.0,14:00,6877.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,38,29000,0.742,-0.131
5,2026-06-17,6981,村田製作所,short,medium,13:23,10715.0,14:01,10715.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,38,18600,0.980,-0.327
2,2026-06-17,5803,フジクラ,short,medium,13:31,4707.0,14:31,4730.5,-9979,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,60,42400,0.467,-0.574
6,2026-06-17,6526,ソシオネクスト,short,medium,13:33,2497.0,13:50,2509.5,-9988,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,17,80000,0.140,-0.501
4,2026-06-17,6976,太陽誘電,short,medium,13:34,19780.0,13:38,19878.9,-9989,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,4,10100,0.000,-0.506
1,2026-06-17,6857,アドバンテスト,short,medium,13:36,30300.0,14:25,30300.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,49,6600,0.990,0.000
11,2026-06-17,7011,三菱重工業,short,medium,13:44,3863.0,15:20,3857.0,3102,0.155,TIME,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,96,51700,0.285,-0.388
10,2026-06-17,9984,ソフトバンクG,short,medium,14:21,6856.0,14:49,6890.3,-9975,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,28,29100,0.000,-0.525
7,2026-06-17,6526,ソシオネクスト,short,medium,14:28,2488.0,14:38,2500.4,-9989,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,10,80300,0.020,-0.543
15,2026-06-18,5803,フジクラ,short,medium,12:29,4667.0,13:06,4667.0,0,0.000,BE,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,37,42800,1.500,-0.043
20,2026-06-18,6981,村田製作所,short,medium,12:29,12245.0,12:31,12306.2,-9980,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,2,16300,0.000,-0.735
24,2026-06-18,9984,ソフトバンクG,short,medium,12:29,7082.0,12:30,7117.4,-9986,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,1,28200,0.000,-0.537
26,2026-06-18,7011,三菱重工業,short,medium,12:29,3967.0,13:40,3967.0,0,0.000,BE,デッドクロス (MA5:3998.2 < MA25:4004.44, 乖離:0.16%)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,71,50400,0.504,-0.126
23,2026-06-18,6526,ソシオネクスト,short,medium,13:00,2604.0,14:26,2617.0,-9999,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,86,76800,0.442,-0.614
18,2026-06-18,6976,太陽誘電,short,medium,13:12,20925.0,13:37,21029.6,-9939,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,25,9500,0.335,-0.621
21,2026-06-18,6981,村田製作所,short,medium,13:18,12170.0,13:30,12230.8,-9979,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,12,16400,0.000,-0.575
14,2026-06-18,6857,アドバンテスト,short,medium,13:24,30070.0,14:32,30220.3,-9923,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,68,6600,0.249,-0.599
16,2026-06-18,5803,フジクラ,short,medium,13:25,4629.0,14:06,4652.1,-9999,-0.500,SL,三尊（ヘッド&ショルダー）(ネックライン:4631.5円割れ)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,41,43200,0.151,-0.518
25,2026-06-18,9984,ソフトバンクG,short,medium,13:27,7210.0,14:08,7246.0,-9986,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,41,27700,0.430,-0.527
22,2026-06-18,6981,村田製作所,short,medium,14:06,12170.0,14:36,11987.5,29938,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,30,16400,1.520,-0.205
13,2026-06-18,6920,レーザーテック,short,medium,14:09,56230.0,14:27,56511.1,-9840,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,18,3500,0.036,-0.569
17,2026-06-18,5803,フジクラ,short,medium,14:12,4639.0,15:20,4570.0,29739,1.487,TIME,三尊（ヘッド&ショルダー）(ネックライン:4642.0円割れ)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,67,43100,1.487,-0.065
27,2026-06-18,7011,三菱重工業,short,medium,14:17,3961.0,14:31,3980.8,-9982,-0.500,SL,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,pm,14,50400,0.000,-0.555
19,2026-06-18,6976,太陽誘電,short,medium,14:27,20880.0,14:36,20566.8,29754,1.500,TP,ダウ理論: 直近安値更新 (下落トレンド継続)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,true,pm,9,9500,1.628,-0.216
28,2026-06-19,6920,レーザーテック,short,medium,09:24,56190.0,09:27,56470.9,-9833,-0.500,SL,大台割れ (56200円割り込み)｜[信頼度：中] トレンド一致・勢い一致・出来高薄,false,am,3,3500,0.000,-0.801
