symbol,name,profit,win,loss,trades,winRate
6920,レーザーテック,0,0,0,0,0.000
9984,ソフトバンクグループ,0,0,0,0,0.000
8035,東京エレクトロン,0,0,0,0,0.000
7011,三菱重工業,0,0,0,0,0.000
4568,第一三共,0,0,0,0,0.000
5803,フジクラ,0,0,0,0,0.000
8316,三井住友FG,0,0,0,0,0.000
6758,ソニーグループ,0,0,0,0,0.000
7203,トヨタ自動車,0,0,0,0,0.000
6526,ソシオネクスト,7150,109,123,232,0.470
6723,ルネサスエレクトロニクス,8250,54,60,114,0.474
8306,三菱UFJ FG,8850,37,26,63,0.587
9107,川崎汽船,10500,75,80,155,0.484
5016,JX金属,20850,44,40,84,0.524
285A,キオクシアHD,61600,64,86,150,0.427
3778,さくらインターネット,226100,74,93,167,0.443
3436,SUMCO,254200,102,117,219,0.466
6857,アドバンテスト,298500,74,67,141,0.525
6976,太陽誘電,618900,124,97,221,0.561
6981,村田製作所,654100,123,113,236,0.521
