date,marketEfficiency,rangeBoundDay,totalProfit,winCount,lossCount,winRate,equity
2025-11-04,0.552,false,32750,7,6,0.538,5032750
2025-11-05,0.418,false,159000,15,12,0.556,5191750
2025-11-06,0.521,false,20300,9,10,0.474,5212050
2025-11-07,0.341,false,-5550,13,13,0.500,5206500
2025-11-10,0.422,false,42800,12,9,0.571,5249300
2025-11-11,0.491,false,12200,9,10,0.474,5261500
2025-11-12,0.501,false,-111150,3,14,0.176,5150350
2025-11-13,0.368,false,3500,4,10,0.286,5153850
2025-11-14,0.453,false,45700,5,4,0.556,5199550
2025-11-17,0.533,false,15750,6,7,0.462,5215300
2025-11-18,0.738,false,-59100,1,10,0.091,5156200
2025-11-19,0.301,false,7900,14,13,0.519,5164100
2025-11-20,0.580,false,19950,13,7,0.650,5184050
2025-11-21,0.524,false,-44600,3,10,0.231,5139450
2025-11-25,0.605,false,1500,7,9,0.438,5140950
2025-11-26,0.533,false,-27900,12,13,0.480,5113050
2025-11-27,0.477,false,-13100,8,13,0.381,5099950
2025-11-28,0.427,false,22850,5,9,0.357,5122800
2025-12-01,0.632,false,-2550,3,11,0.214,5120250
2025-12-02,0.431,false,-1050,8,12,0.400,5119200
2025-12-03,0.628,false,16000,9,4,0.692,5135200
2025-12-04,0.712,false,90150,16,7,0.696,5225350
2025-12-05,0.640,false,-14700,4,8,0.333,5210650
2025-12-08,0.458,false,19200,6,6,0.500,5229850
2025-12-09,0.379,false,18250,11,7,0.611,5248100
2025-12-10,0.432,false,195700,10,5,0.667,5443800
2025-12-11,0.708,false,33550,14,7,0.667,5477350
2025-12-12,0.422,false,-6000,7,9,0.438,5471350
2025-12-15,0.442,false,-14700,4,6,0.400,5456650
2025-12-16,0.645,false,65600,9,6,0.600,5522250
2025-12-17,0.377,false,58750,13,15,0.464,5581000
2025-12-18,0.414,false,30600,8,8,0.500,5611600
2025-12-19,0.452,false,20550,13,8,0.619,5632150
2025-12-22,0.582,false,82950,10,12,0.455,5715100
2025-12-23,0.507,false,-26600,8,8,0.500,5688500
2025-12-24,0.527,false,-1300,8,20,0.286,5687200
2025-12-25,0.417,false,80150,9,14,0.391,5767350
2025-12-26,0.605,false,35300,12,7,0.632,5802650
2025-12-29,0.489,false,-16300,6,7,0.462,5786350
2025-12-30,0.376,false,-3350,5,14,0.263,5783000
2026-01-05,0.492,false,80000,15,3,0.833,5863000
2026-01-06,0.440,false,-70500,5,9,0.357,5792500
2026-01-07,0.532,false,950,10,7,0.588,5793450
2026-01-08,0.655,false,-50150,8,8,0.500,5743300
2026-01-09,0.437,false,14350,11,11,0.500,5757650
2026-01-13,0.390,false,8550,10,8,0.556,5766200
2026-01-14,0.658,false,40050,12,6,0.667,5806250
2026-01-15,0.534,false,-22950,6,11,0.353,5783300
2026-01-16,0.490,false,-23250,6,11,0.353,5760050
2026-01-19,0.456,false,-36600,8,15,0.348,5723450
2026-01-20,0.473,false,-104150,7,12,0.368,5619300
2026-01-21,0.633,false,-8700,5,7,0.417,5610600
2026-01-22,0.522,false,52300,10,10,0.500,5662900
2026-01-23,0.395,false,35050,10,6,0.625,5697950
2026-01-26,0.423,false,-47200,6,10,0.375,5650750
2026-01-27,0.542,false,46350,15,4,0.789,5697100
2026-01-28,0.490,false,-41450,2,11,0.154,5655650
2026-01-29,0.486,false,24650,2,4,0.333,5680300
2026-01-30,0.337,false,-83350,7,10,0.412,5596950
2026-02-02,0.417,false,-51350,3,7,0.300,5545600
2026-02-03,0.502,false,-22550,1,9,0.100,5523050
2026-02-04,0.373,false,-34900,6,5,0.545,5488150
2026-02-05,0.435,false,-87300,5,7,0.417,5400850
2026-02-06,0.558,false,197400,12,6,0.667,5598250
2026-02-09,0.567,false,58050,9,2,0.818,5656300
2026-02-10,0.446,false,11050,4,7,0.364,5667350
2026-02-12,0.528,false,73400,9,5,0.643,5740750
2026-02-13,0.450,false,-25800,2,8,0.200,5714950
2026-02-16,0.592,false,40650,8,3,0.727,5755600
2026-02-17,0.530,false,12850,2,2,0.500,5768450
2026-02-18,0.465,false,30500,8,6,0.571,5798950
2026-02-19,0.544,false,5150,11,7,0.611,5804100
2026-02-20,0.371,false,-52800,5,7,0.417,5751300
2026-02-24,0.615,false,95250,8,3,0.727,5846550
2026-02-25,0.578,false,1550,3,7,0.300,5848100
2026-02-26,0.496,false,-38800,1,7,0.125,5809300
2026-02-27,0.612,false,-26250,1,3,0.250,5783050
2026-03-02,0.673,false,-12100,1,5,0.167,5770950
2026-03-03,0.658,false,53100,6,2,0.750,5824050
2026-03-04,0.306,false,38400,12,5,0.706,5862450
2026-03-05,0.301,false,43800,6,7,0.462,5906250
2026-03-06,0.464,false,60450,13,5,0.722,5966700
2026-03-09,0.314,false,49700,5,6,0.455,6016400
2026-03-10,0.365,false,127000,7,1,0.875,6143400
2026-03-11,0.397,false,13200,3,3,0.500,6156600
2026-03-12,0.409,false,-27200,7,9,0.438,6129400
2026-03-13,0.601,false,-30400,1,4,0.200,6099000
2026-03-16,0.402,false,-8450,11,3,0.786,6090550
2026-03-17,0.656,false,-39300,3,5,0.375,6051250
2026-03-18,0.672,false,107050,3,5,0.375,6158300
2026-03-19,0.376,false,35450,13,7,0.650,6193750
2026-03-23,0.428,false,-31800,5,10,0.333,6161950
2026-03-24,0.442,false,95400,8,6,0.571,6257350
2026-03-25,0.470,false,-74100,1,4,0.200,6183250
2026-03-26,0.508,false,11400,8,7,0.533,6194650
2026-03-27,0.388,false,58750,9,9,0.500,6253400
2026-03-30,0.514,false,25200,5,8,0.385,6278600
2026-03-31,0.280,true,0,0,0,0.000,6278600
2026-04-01,0.577,false,8850,7,6,0.538,6287450
2026-04-02,0.643,false,233300,10,5,0.667,6520750
2026-04-03,0.672,false,-50550,7,4,0.636,6470200
2026-04-06,0.443,false,76800,16,4,0.800,6547000
2026-04-07,0.481,false,7050,6,7,0.462,6554050
2026-04-08,0.585,false,14250,5,10,0.333,6568300
2026-04-09,0.530,false,-1600,3,5,0.375,6566700
2026-04-10,0.605,false,-39150,0,3,0.000,6527550
2026-04-13,0.587,false,45450,4,5,0.444,6573000
2026-04-14,0.644,false,15500,4,4,0.500,6588500
2026-04-15,0.602,false,-30650,3,2,0.600,6557850
2026-04-16,0.441,false,71500,9,3,0.750,6629350
2026-04-17,0.637,false,38250,4,3,0.571,6667600
2026-04-20,0.515,false,31850,3,5,0.375,6699450
2026-04-21,0.680,false,-15800,2,3,0.400,6683650
2026-04-22,0.543,false,-12850,3,3,0.500,6670800
2026-04-23,0.488,false,47850,4,2,0.667,6718650
2026-04-24,0.471,false,-38700,0,5,0.000,6679950
2026-04-27,0.427,false,34650,6,6,0.500,6714600
2026-04-28,0.493,false,3450,4,4,0.500,6718050
2026-04-30,0.417,false,18300,2,0,1.000,6736350
2026-05-01,0.448,false,76150,7,4,0.636,6812500
2026-05-07,0.539,false,41700,3,0,1.000,6854200
2026-05-08,0.492,false,45750,6,4,0.600,6899950
2026-05-11,0.548,false,-5300,2,3,0.400,6894650
2026-05-12,0.442,false,45700,4,4,0.500,6940350
2026-05-13,0.551,false,55650,5,1,0.833,6996000
2026-05-14,0.529,false,-30700,0,3,0.000,6965300
2026-05-15,0.552,false,-11750,4,7,0.364,6953550
2026-05-18,0.441,false,-15050,2,3,0.400,6938500
2026-05-19,0.659,false,41850,6,3,0.667,6980350
2026-05-20,0.377,false,26500,1,2,0.333,7006850
2026-05-21,0.457,false,16850,4,2,0.667,7023700
2026-05-22,0.397,false,-18800,2,4,0.333,7004900
2026-05-25,0.532,false,42500,1,2,0.333,7047400
2026-05-26,0.563,false,-49900,1,4,0.200,6997500
2026-05-27,0.619,false,-26400,1,3,0.250,6971100
2026-05-28,0.474,false,168600,5,4,0.556,7139700
2026-05-29,0.454,false,29300,5,5,0.500,7169000
