symbol,name,profit,win,loss,trades,winRate
3778,さくらインターネット,-110500,26,50,76,0.342
7011,三菱重工業,-80500,33,54,87,0.379
8306,三菱UFJ FG,-65650,30,52,82,0.366
6758,ソニーグループ,-46800,27,57,84,0.321
6526,ソシオネクスト,0,0,0,0,0.000
6920,レーザーテック,0,0,0,0,0.000
6857,アドバンテスト,0,0,0,0,0.000
9107,川崎汽船,0,0,0,0,0.000
9984,ソフトバンクグループ,0,0,0,0,0.000
8035,東京エレクトロン,0,0,0,0,0.000
4568,第一三共,0,0,0,0,0.000
285A,キオクシアHD,0,0,0,0,0.000
5803,フジクラ,0,0,0,0,0.000
5016,JX金属,0,0,0,0,0.000
8316,三井住友FG,0,0,0,0,0.000
6723,ルネサスエレクトロニクス,0,0,0,0,0.000
7203,トヨタ自動車,0,0,0,0,0.000
6981,村田製作所,47400,34,53,87,0.391
6976,太陽誘電,66600,30,38,68,0.441
3436,SUMCO,130800,27,45,72,0.375
