date,baseProfit,newProfit,baseTrades
2025-11-04,12500,10800,2
2025-11-05,36100,3000,5
2025-11-06,-10800,-6800,4
2025-11-07,-800,800,6
2025-11-10,8000,1600,3
2025-11-11,-10200,3700,3
2025-11-12,-1600,-400,3
2025-11-13,-2400,-2100,3
2025-11-14,2800,13600,3
2025-11-17,3500,3000,2
2025-11-18,-15900,-3200,5
2025-11-19,0,0,0
2025-11-20,16800,0,3
2025-11-21,-3200,-6800,3
2025-11-25,5600,3600,4
2025-11-26,-3200,-400,3
2025-11-27,5800,3600,4
2025-11-28,13800,4100,3
2025-12-01,-2000,-5600,4
2025-12-02,-7200,-7200,2
2025-12-03,6700,-12900,2
2025-12-04,20400,12800,2
2025-12-05,0,0,0
2025-12-08,12400,4300,3
2025-12-09,-3500,4600,3
2025-12-10,44100,7600,4
2025-12-11,200,-5400,5
2025-12-12,1700,4500,5
2025-12-15,-4000,1900,2
2025-12-16,16800,12800,4
2025-12-17,2900,3200,5
2025-12-18,7400,12200,3
2025-12-19,-3500,-4900,7
2025-12-22,-4400,3200,5
2025-12-23,-7600,2000,4
2025-12-24,14000,500,5
2025-12-25,9400,18800,6
2025-12-26,13600,14200,3
2025-12-29,6400,-1200,3
2025-12-30,-6300,-3200,4
2026-01-05,3000,600,1
2026-01-06,-7700,0,3
2026-01-07,15500,2700,4
2026-01-08,-11700,1100,3
2026-01-09,5100,1100,6
2026-01-13,-7100,-1000,4
2026-01-14,16800,13200,6
2026-01-15,-6400,-6400,3
2026-01-16,-700,-7600,4
2026-01-19,2000,2000,4
2026-01-20,-9200,-12800,3
2026-01-21,-14000,-800,4
2026-01-22,-8000,2800,5
2026-01-23,-800,1200,5
2026-01-26,800,800,2
2026-01-27,1600,1200,1
2026-01-28,0,0,1
2026-01-29,11200,-400,4
2026-01-30,-5600,7200,3
2026-02-02,-18400,-18400,1
2026-02-03,-1600,0,1
2026-02-04,2800,4400,1
2026-02-05,-3600,-20400,3
2026-02-06,8400,4400,1
2026-02-09,14400,11600,1
2026-02-10,7800,1100,4
2026-02-12,20800,2300,4
2026-02-13,-25000,-23800,5
2026-02-16,5200,5200,4
2026-02-17,12900,3200,4
2026-02-18,19700,6900,5
2026-02-19,4400,2400,2
2026-02-20,-9600,-1800,4
2026-02-24,24500,4700,6
2026-02-25,3200,3200,1
2026-02-26,1500,300,4
2026-02-27,-5400,-1200,2
2026-03-02,-16200,-3900,2
2026-03-03,26400,900,1
2026-03-04,8000,6000,7
2026-03-05,10800,0,3
2026-03-06,18900,6600,2
2026-03-09,6400,-400,1
2026-03-10,23000,8500,2
2026-03-11,-8400,-8400,1
2026-03-12,-30900,-300,5
2026-03-13,0,0,0
2026-03-16,7200,11200,2
2026-03-17,7600,-8000,4
2026-03-18,-600,2100,2
2026-03-19,17700,900,3
2026-03-23,16500,900,1
2026-03-24,-7900,900,3
2026-03-25,1500,600,1
2026-03-26,10800,6000,3
2026-03-27,1700,500,5
2026-03-30,3900,900,1
2026-03-31,0,0,0
2026-04-01,3400,1100,2
2026-04-02,91300,21000,4
2026-04-03,-5400,-5400,1
2026-04-06,20100,7500,3
2026-04-07,11400,2400,2
2026-04-08,10400,3600,7
2026-04-09,4800,-200,2
2026-04-10,-7700,-500,2
2026-04-13,-5500,-5500,2
2026-04-14,-2200,2000,2
2026-04-15,-7600,200,2
2026-04-16,22500,3000,3
2026-04-17,31100,26600,4
2026-04-20,16500,-3000,2
2026-04-21,0,0,0
2026-04-22,0,0,0
2026-04-23,3300,0,2
2026-04-24,-13200,1000,2
2026-04-27,-2600,-800,2
2026-04-28,-400,-200,1
2026-04-30,10600,1400,2
2026-05-01,15600,-400,2
2026-05-07,19000,8400,2
2026-05-08,2000,4800,4
2026-05-11,8600,11200,2
2026-05-12,1400,1000,3
2026-05-13,19800,10800,2
2026-05-14,-17800,-17800,1
2026-05-15,22600,-5400,7
2026-05-18,33200,0,1
2026-05-19,-800,-1200,3
2026-05-20,13800,7700,3
2026-05-21,6500,9500,1
2026-05-22,3200,-400,1
2026-05-25,12000,3400,1
2026-05-26,-20400,-20400,4
2026-05-27,6000,-1500,5
2026-05-28,39500,30700,3
2026-05-29,6200,12900,1
2026-06-11,0,0,0
2026-06-12,0,0,0
