date,profitA,profitB,tradesA,tradesB
2025-11-04,12500,33850,2,21
2025-11-05,36100,98200,5,30
2025-11-06,-10800,-28400,4,22
2025-11-07,-800,16250,6,27
2025-11-10,8000,-4150,3,25
2025-11-11,-10200,8650,3,33
2025-11-12,-1600,13750,3,25
2025-11-13,-2400,600,3,25
2025-11-14,2800,4500,3,27
2025-11-17,3500,-12000,2,26
2025-11-18,-15900,-65200,5,33
2025-11-19,0,-7200,0,27
2025-11-20,16800,16200,3,20
2025-11-21,-3200,-21000,3,30
2025-11-25,5600,-35150,4,28
2025-11-26,-3200,26600,3,24
2025-11-27,5800,17600,4,28
2025-11-28,13800,6300,3,19
2025-12-01,-2000,-17900,4,32
2025-12-02,-7200,-4350,2,23
2025-12-03,6700,-550,2,15
2025-12-04,20400,47400,2,33
2025-12-05,0,-2250,0,24
2025-12-08,12400,15800,3,17
2025-12-09,-3500,-14800,3,21
2025-12-10,44100,53900,4,27
2025-12-11,200,1450,5,29
2025-12-12,1700,-31000,5,33
2025-12-15,-4000,14550,2,29
2025-12-16,16800,33900,4,34
2025-12-17,2900,4000,5,19
2025-12-18,7400,-23300,3,23
2025-12-19,-3500,-28700,7,33
2025-12-22,-4400,-10300,5,23
2025-12-23,-7600,-6350,4,24
2025-12-24,14000,30300,5,27
2025-12-25,9400,7600,6,27
2025-12-26,13600,8500,3,19
2025-12-29,6400,2250,3,28
2025-12-30,-6300,-22450,4,22
2026-01-05,3000,6700,1,28
2026-01-06,-7700,-6200,3,25
2026-01-07,15500,13700,4,33
2026-01-08,-11700,18550,3,30
2026-01-09,5100,33650,6,30
2026-01-13,-7100,1400,4,32
2026-01-14,16800,11500,6,33
2026-01-15,-6400,-12100,3,37
2026-01-16,-700,-19400,4,29
2026-01-19,2000,19250,4,29
2026-01-20,-9200,950,3,36
2026-01-21,-14000,-16050,4,22
2026-01-22,-8000,-26100,5,30
2026-01-23,-800,3700,5,31
2026-01-26,800,4600,2,26
2026-01-27,1600,-20350,1,23
2026-01-28,0,-20600,1,26
2026-01-29,11200,6800,4,24
2026-01-30,-5600,11350,3,30
2026-02-02,-18400,13300,1,28
2026-02-03,-1600,-4050,1,27
2026-02-04,2800,2700,1,27
2026-02-05,-3600,-5550,3,29
2026-02-06,8400,44150,1,25
2026-02-09,14400,24850,1,25
2026-02-10,7800,6350,4,30
2026-02-12,20800,31850,4,26
2026-02-13,-25000,-21700,5,31
2026-02-16,5200,4600,4,25
2026-02-17,12900,29950,4,29
2026-02-18,19700,29600,5,32
2026-02-19,4400,13650,2,24
2026-02-20,-9600,1500,4,26
2026-02-24,24500,41250,6,29
2026-02-25,3200,-7800,1,29
2026-02-26,1500,-16050,4,29
2026-02-27,-5400,-29800,2,30
2026-03-02,-16200,11100,2,28
2026-03-03,26400,64300,1,26
2026-03-04,8000,-19050,7,22
2026-03-05,10800,33100,3,28
2026-03-06,18900,9000,2,31
2026-03-09,6400,15000,1,24
2026-03-10,23000,33200,2,21
2026-03-11,-8400,29250,1,26
2026-03-12,-30900,-62050,5,41
2026-03-13,0,-10100,0,20
2026-03-16,7200,16750,2,32
2026-03-17,7600,10650,4,35
2026-03-18,-600,-750,2,22
2026-03-19,17700,47900,3,28
2026-03-23,16500,-8750,1,22
2026-03-24,-7900,-34800,3,35
2026-03-25,1500,13800,1,26
2026-03-26,10800,17000,3,30
2026-03-27,1700,21000,5,40
2026-03-30,3900,-10850,1,15
2026-03-31,0,31700,0,26
2026-04-01,3400,21600,2,35
2026-04-02,91300,112600,4,28
2026-04-03,-5400,-7800,1,32
2026-04-06,20100,14950,3,27
2026-04-07,11400,50950,2,23
2026-04-08,10400,-16300,7,30
2026-04-09,4800,28650,2,23
2026-04-10,-7700,-12150,2,26
2026-04-13,-5500,500,2,28
2026-04-14,-2200,16000,2,24
2026-04-15,-7600,-8350,2,26
2026-04-16,22500,25200,3,26
2026-04-17,31100,33100,4,29
2026-04-20,16500,26050,2,32
2026-04-21,0,4500,0,28
2026-04-22,0,-20100,0,24
2026-04-23,3300,20600,2,27
2026-04-24,-13200,-31300,2,24
2026-04-27,-2600,-10850,2,27
2026-04-28,-400,-21150,1,28
2026-04-30,10600,6850,2,24
2026-05-01,15600,16750,2,24
2026-05-07,19000,-200,2,31
2026-05-08,2000,-1500,4,31
2026-05-11,8600,-7900,2,23
2026-05-12,1400,-21050,3,23
2026-05-13,19800,18200,2,26
2026-05-14,-17800,-8000,1,19
2026-05-15,22600,45250,7,27
2026-05-18,33200,23300,1,22
2026-05-19,-800,-2850,3,27
2026-05-20,13800,-19900,3,21
2026-05-21,6500,-32250,1,24
2026-05-22,3200,2550,1,24
2026-05-25,12000,5750,1,20
2026-05-26,-20400,-22950,4,21
2026-05-27,6000,-8400,5,25
2026-05-28,39500,41950,3,30
2026-05-29,6200,6100,1,17
2026-06-11,0,-29750,0,14
2026-06-12,0,-34850,0,22
