date,marketEfficiency,rangeBoundDay,totalProfit,winCount,lossCount,winRate
2025-11-04,0.552,false,1200,1,0,1.000
2025-11-05,0.418,false,70950,5,3,0.625
2025-11-06,0.521,false,18750,5,2,0.714
2025-11-07,0.341,false,20700,7,3,0.700
2025-11-10,0.422,false,-900,1,1,0.500
2025-11-11,0.491,false,-11000,0,1,0.000
2025-11-12,0.501,false,-2800,0,2,0.000
2025-11-13,0.368,false,-3700,0,2,0.000
2025-11-14,0.453,false,0,0,0,0.000
2025-11-17,0.533,false,0,0,0,0.000
2025-11-18,0.738,false,-7550,0,2,0.000
2025-11-19,0.301,false,2000,1,1,0.500
2025-11-20,0.580,false,11600,4,3,0.571
2025-11-21,0.524,false,0,0,0,0.000
2025-11-25,0.605,false,7200,6,2,0.750
2025-11-26,0.533,false,0,0,0,0.000
2025-11-27,0.477,false,1400,1,2,0.333
2025-11-28,0.427,false,10000,1,0,1.000
2025-12-01,0.632,false,-7150,0,2,0.000
2025-12-02,0.431,false,2150,1,1,0.500
2025-12-03,0.628,false,22200,2,0,1.000
2025-12-04,0.712,false,17200,2,0,1.000
2025-12-05,0.640,false,0,0,0,0.000
2025-12-08,0.458,false,300,1,0,1.000
2025-12-09,0.379,false,-5600,0,1,0.000
2025-12-10,0.432,false,54200,4,1,0.800
2025-12-11,0.708,false,16300,4,0,1.000
2025-12-12,0.422,false,600,1,0,1.000
2025-12-15,0.442,false,-7200,0,1,0.000
2025-12-16,0.645,false,26600,5,1,0.833
2025-12-17,0.377,false,0,0,0,0.000
2025-12-18,0.414,false,0,0,0,0.000
2025-12-19,0.452,false,0,0,1,0.000
2025-12-22,0.582,false,-2000,0,1,0.000
2025-12-23,0.507,false,-3600,0,1,0.000
2025-12-24,0.527,false,13500,1,0,1.000
2025-12-25,0.417,false,4000,1,1,0.500
2025-12-26,0.605,false,11000,2,0,1.000
2025-12-29,0.489,false,5000,2,3,0.400
2025-12-30,0.376,false,-300,1,3,0.250
2026-01-05,0.492,false,0,0,0,0.000
2026-01-06,0.440,false,0,0,0,0.000
2026-01-07,0.532,false,0,0,0,0.000
2026-01-08,0.655,false,-24800,0,4,0.000
2026-01-09,0.437,false,-12800,1,2,0.333
2026-01-13,0.390,false,-350,1,3,0.250
2026-01-14,0.658,false,4700,1,2,0.333
2026-01-15,0.534,false,0,0,0,0.000
2026-01-16,0.490,false,-18650,0,4,0.000
2026-01-19,0.456,false,-500,0,1,0.000
2026-01-20,0.473,false,-18900,1,2,0.333
