date,month,totalProfit,winCount,lossCount,winRate
2025-11-04,2025-11,-13100,1,2,0.333
2025-11-05,2025-11,159800,11,5,0.688
2025-11-06,2025-11,45900,9,4,0.692
2025-11-07,2025-11,27450,13,8,0.619
2025-11-10,2025-11,-1300,2,3,0.400
2025-11-11,2025-11,-10250,1,3,0.250
2025-11-12,2025-11,-4900,0,2,0.000
2025-11-13,2025-11,-6100,0,2,0.000
2025-11-14,2025-11,0,0,0,0.000
2025-11-17,2025-11,100,1,1,0.500
2025-11-18,2025-11,-15700,1,5,0.167
2025-11-19,2025-11,22250,3,2,0.600
2025-11-20,2025-11,18500,11,5,0.688
2025-11-21,2025-11,-2350,0,1,0.000
2025-11-25,2025-11,11050,7,7,0.500
2025-11-26,2025-11,2000,4,0,1.000
2025-11-27,2025-11,5700,3,3,0.500
2025-11-28,2025-11,17800,2,1,0.667
2025-12-01,2025-12,10800,3,8,0.273
2025-12-02,2025-12,2550,2,2,0.500
2025-12-03,2025-12,33450,2,1,0.667
2025-12-04,2025-12,34250,4,1,0.800
2025-12-05,2025-12,-1400,0,2,0.000
2025-12-08,2025-12,-1700,1,2,0.333
2025-12-09,2025-12,-5000,1,3,0.250
2025-12-10,2025-12,109500,7,5,0.583
2025-12-11,2025-12,36600,9,1,0.900
2025-12-12,2025-12,1000,1,1,0.500
2025-12-15,2025-12,-15200,0,2,0.000
2025-12-16,2025-12,48000,9,4,0.692
2025-12-17,2025-12,6500,1,0,1.000
2025-12-18,2025-12,1500,1,0,1.000
2025-12-19,2025-12,0,0,1,0.000
2025-12-22,2025-12,-3200,1,1,0.500
2025-12-23,2025-12,-6300,0,1,0.000
2025-12-24,2025-12,28950,3,2,0.600
2025-12-25,2025-12,6800,1,1,0.500
2025-12-26,2025-12,32700,5,1,0.833
2025-12-29,2025-12,7850,5,6,0.455
2025-12-30,2025-12,-50,2,5,0.286
2026-01-05,2026-01,7650,1,1,0.500
2026-01-06,2026-01,0,0,0,0.000
2026-01-07,2026-01,50,1,0,1.000
2026-01-08,2026-01,-41350,4,6,0.400
2026-01-09,2026-01,-17650,3,2,0.600
2026-01-13,2026-01,-600,1,3,0.250
2026-01-14,2026-01,8400,1,2,0.333
2026-01-15,2026-01,950,1,0,1.000
2026-01-16,2026-01,-31250,0,4,0.000
2026-01-19,2026-01,-800,0,1,0.000
2026-01-20,2026-01,-40350,3,5,0.375
2026-01-21,2026-01,-5950,0,2,0.000
2026-01-22,2026-01,-25300,1,5,0.167
2026-01-23,2026-01,-24000,1,1,0.500
2026-01-26,2026-01,-45550,0,3,0.000
2026-01-27,2026-01,7000,3,0,1.000
2026-01-28,2026-01,-15900,1,1,0.500
2026-01-29,2026-01,5450,1,3,0.250
2026-01-30,2026-01,-27200,3,3,0.500
2026-02-02,2026-02,-34100,0,5,0.000
2026-02-03,2026-02,-20000,1,3,0.250
2026-02-04,2026-02,-400,0,1,0.000
2026-02-05,2026-02,-43000,0,1,0.000
2026-02-06,2026-02,93350,2,0,1.000
2026-02-09,2026-02,50550,6,0,1.000
2026-02-10,2026-02,0,0,0,0.000
2026-02-12,2026-02,34800,4,2,0.667
2026-02-13,2026-02,-27650,1,3,0.250
2026-02-16,2026-02,23350,5,2,0.714
2026-02-17,2026-02,12850,2,2,0.500
2026-02-18,2026-02,20500,3,2,0.600
2026-02-19,2026-02,550,1,0,1.000
2026-02-20,2026-02,-38550,4,5,0.444
2026-02-24,2026-02,-600,0,1,0.000
2026-02-25,2026-02,7350,3,1,0.750
2026-02-26,2026-02,-29350,1,6,0.143
