filter,month,profit,avgPerDay,winRate,posDays,days
"F0_ベースライン",2025-11,117850,6547,57.1,9,18
"F0_ベースライン",2025-12,147200,6691,61.4,12,22
"F0_ベースライン",2026-01,-120950,-6366,18.8,2,19
"F0_ベースライン",2026-02,-550,-31,48.5,6,18
"F0_ベースライン",2026-03,131750,6274,51.0,9,21
"F0_ベースライン",2026-04,164700,7843,51.2,11,21
"F0_ベースライン",2026-05,142700,7928,55.3,8,18
"F2_確認バー",2025-11,117850,6547,57.1,9,18
"F2_確認バー",2025-12,147200,6691,61.4,12,22
"F2_確認バー",2026-01,-120950,-6366,18.8,2,19
"F2_確認バー",2026-02,-550,-31,48.5,6,18
"F2_確認バー",2026-03,131750,6274,51.0,9,21
"F2_確認バー",2026-04,164700,7843,51.2,11,21
"F2_確認バー",2026-05,137400,7633,52.6,8,18
"F3_前日終値比",2025-11,-2900,-161,33.3,4,18
"F3_前日終値比",2025-12,55400,2518,55.6,6,22
"F3_前日終値比",2026-01,-61950,-3261,15.4,2,19
"F3_前日終値比",2026-02,-10700,-594,46.2,3,18
"F3_前日終値比",2026-03,13150,626,50.0,2,21
"F3_前日終値比",2026-04,-3200,-152,50.0,6,21
"F3_前日終値比",2026-05,94800,5267,70.0,3,18
"F2+F3_確認バー+前日終値比",2025-11,-2900,-161,33.3,4,18
"F2+F3_確認バー+前日終値比",2025-12,55400,2518,55.6,6,22
"F2+F3_確認バー+前日終値比",2026-01,-61950,-3261,15.4,2,19
"F2+F3_確認バー+前日終値比",2026-02,-10700,-594,46.2,3,18
"F2+F3_確認バー+前日終値比",2026-03,13150,626,50.0,2,21
"F2+F3_確認バー+前日終値比",2026-04,-3200,-152,50.0,6,21
"F2+F3_確認バー+前日終値比",2026-05,94800,5267,70.0,3,18
"F1_ADX",2025-11,-4100,-228,27.3,3,18
"F1_ADX",2025-12,55400,2518,55.6,6,22
"F1_ADX",2026-01,-61950,-3261,15.4,2,19
"F1_ADX",2026-02,-10700,-594,46.2,3,18
"F1_ADX",2026-03,13150,626,50.0,2,21
"F1_ADX",2026-04,-3200,-152,50.0,6,21
"F1_ADX",2026-05,94800,5267,70.0,3,18
"F5_市場モメンタム",2025-11,98400,5467,52.9,7,18
"F5_市場モメンタム",2025-12,133050,6048,61.8,10,22
"F5_市場モメンタム",2026-01,-82550,-4345,15.8,1,19
"F5_市場モメンタム",2026-02,-9400,-522,46.7,4,18
"F5_市場モメンタム",2026-03,20900,995,46.4,5,21
"F5_市場モメンタム",2026-04,-5400,-257,50.0,8,21
"F5_市場モメンタム",2026-05,93900,5217,51.7,5,18
"F1+F2+F3_ADX+確認バー+前日終値比",2025-11,-4100,-228,27.3,3,18
"F1+F2+F3_ADX+確認バー+前日終値比",2025-12,55400,2518,55.6,6,22
"F1+F2+F3_ADX+確認バー+前日終値比",2026-01,-61950,-3261,15.4,2,19
"F1+F2+F3_ADX+確認バー+前日終値比",2026-02,-10700,-594,46.2,3,18
"F1+F2+F3_ADX+確認バー+前日終値比",2026-03,13150,626,50.0,2,21
"F1+F2+F3_ADX+確認バー+前日終値比",2026-04,-3200,-152,50.0,6,21
"F1+F2+F3_ADX+確認バー+前日終値比",2026-05,94800,5267,70.0,3,18
"F_ALL_全フィルター",2025-11,-4100,-228,27.3,3,18
"F_ALL_全フィルター",2025-12,55400,2518,55.6,6,22
"F_ALL_全フィルター",2026-01,-61950,-3261,15.4,2,19
"F_ALL_全フィルター",2026-02,-10700,-594,46.2,3,18
"F_ALL_全フィルター",2026-03,13150,626,50.0,2,21
"F_ALL_全フィルター",2026-04,-3200,-152,50.0,6,21
"F_ALL_全フィルター",2026-05,94800,5267,70.0,3,18
