threshold,month,profit,avgPerDay,posDays,days
8,2025-11,117850,6547,9,18
8,2025-12,147200,6691,12,22
8,2026-01,-120950,-6366,2,19
8,2026-02,-550,-31,6,18
8,2026-03,131750,6274,9,21
8,2026-04,164700,7843,11,21
8,2026-05,142700,7928,8,18
7,2025-11,125350,6964,9,18
7,2025-12,147200,6691,12,22
7,2026-01,-111950,-5892,2,19
7,2026-02,-550,-31,6,18
7,2026-03,102200,4867,9,21
7,2026-04,140700,6700,10,21
7,2026-05,143900,7994,7,18
6,2025-11,60300,3350,9,18
6,2025-12,147200,6691,12,22
6,2026-01,-111950,-5892,2,19
6,2026-02,1700,94,7,18
6,2026-03,58050,2764,9,21
6,2026-04,33000,1571,10,21
6,2026-05,112200,6233,5,18
5,2025-11,57100,3172,9,18
5,2025-12,89250,4057,11,22
5,2026-01,-98450,-5182,2,19
5,2026-02,200,11,7,18
5,2026-03,40050,1907,8,21
5,2026-04,13500,643,9,21
5,2026-05,111500,6194,4,18
4,2025-11,23400,1300,7,18
4,2025-12,76950,3498,11,22
4,2026-01,-89200,-4695,2,19
4,2026-02,6600,367,7,18
4,2026-03,12250,583,6,21
4,2026-04,-10800,-514,7,21
4,2026-05,115900,6439,4,18
3,2025-11,9700,539,5,18
3,2025-12,65950,2998,9,22
3,2026-01,-92450,-4866,2,19
3,2026-02,-21500,-1194,5,18
3,2026-03,19750,940,4,21
3,2026-04,3400,162,7,21
3,2026-05,94800,5267,3,18
