stopPercent,totalProfit,avgPerDay,medianPerDay,winRate,posDays,negDays,worstDay,daysOver15k
0.3,225000,3750,0,0.4630,27,28,-27400,12
0.5,286900,4782,0,0.4870,29,26,-27400,13
0.75,306700,5112,2050,0.5038,33,22,-27400,13
1,336800,5613,1950,0.5132,32,23,-28400,12
1.25,331800,5530,1950,0.5132,32,23,-33000,12
1.5,345400,5757,1950,0.5152,32,23,-34600,12
1.75,344400,5740,1950,0.5152,32,23,-31600,12
2,344000,5733,1950,0.5152,32,23,-31600,12
2.25,344000,5733,1950,0.5152,32,23,-31600,12
2.5,344000,5733,1950,0.5152,32,23,-31600,12
2.75,344000,5733,1950,0.5152,32,23,-31600,12
3,344000,5733,1950,0.5152,32,23,-31600,12
