filter,totalProfit,avgPerDay,winRate,posDays,negDays,days,improvement,improvementPct
"F0_ベースライン(0.55%)",582700,4253,50.5,57,40,137,0,0.0
"FA_クールダウン10本",577000,4212,50.2,57,40,137,-5700,-1.0
"FA_クールダウン15本",581500,4245,50.3,57,40,137,-1200,-0.2
"FA_クールダウン20本",565100,4125,50.2,57,40,137,-17600,-3.0
"FB_RSI>=52",83400,609,44.8,25,25,137,-499300,-85.7
"FB_RSI>=55",83400,609,44.8,25,25,137,-499300,-85.7
"FB_RSI>=58",83400,609,44.8,25,25,137,-499300,-85.7
"FC_出来高2.0倍",479000,3496,49.6,53,40,137,-103700,-17.8
"FC_出来高1.5倍",369200,2695,50.4,53,39,137,-213500,-36.6
"FD_損切り0.45%",565500,4128,50.2,57,40,137,-17200,-3.0
"FD_損切り0.40%",557700,4071,49.5,57,40,137,-25000,-4.3
"FD_損切り0.35%",495500,3617,47.1,56,41,137,-87200,-15.0
"FA10+FB55",83400,609,44.8,25,25,137,-499300,-85.7
"FA10+FC2.0",478600,3493,49.6,53,40,137,-104100,-17.9
"FB55+FC2.0",83400,609,44.8,25,25,137,-499300,-85.7
"FA10+FB55+FC2.0",83400,609,44.8,25,25,137,-499300,-85.7
"FA10+FB55+FD0.45",83400,609,44.8,25,25,137,-499300,-85.7
"FA10+FB55+FC2.0+FD0.45",83400,609,44.8,25,25,137,-499300,-85.7
"FA15+FB55+FC1.5+FD0.45",83400,609,44.8,25,25,137,-499300,-85.7
