label,gapUp,shortMinRsi,totalProfit,avgPerDay,winRate,posDays,negDays,tradedDays,daysOver15k,best,worst,median,diffFromBaseline
gap=off_rsi=off,off,off,439150,7319,52.3,28,14,60,11,108700,-23000,0,0
gap=off_rsi=55,off,55,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=off_rsi=60,off,60,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=off_rsi=65,off,65,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=off_rsi=70,off,70,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=0.5_rsi=off,0.5,off,286000,4767,54.7,25,13,60,9,92700,-19400,0,-153150
gap=0.5_rsi=55,0.5,55,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=0.5_rsi=60,0.5,60,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=0.5_rsi=65,0.5,65,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=0.5_rsi=70,0.5,70,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=1_rsi=off,1,off,325000,5417,54.9,26,13,60,9,92700,-23000,0,-114150
gap=1_rsi=55,1,55,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=1_rsi=60,1,60,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=1_rsi=65,1,65,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=1_rsi=70,1,70,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=1.5_rsi=off,1.5,off,413000,6883,52.8,28,12,60,9,108700,-23000,0,-26150
gap=1.5_rsi=55,1.5,55,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=1.5_rsi=60,1.5,60,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=1.5_rsi=65,1.5,65,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=1.5_rsi=70,1.5,70,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=2_rsi=off,2,off,409800,6830,52.8,28,12,60,9,108700,-23000,0,-29350
gap=2_rsi=55,2,55,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=2_rsi=60,2,60,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=2_rsi=65,2,65,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=2_rsi=70,2,70,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=3_rsi=off,3,off,379800,6330,51.3,26,14,60,9,108700,-23000,0,-59350
gap=3_rsi=55,3,55,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=3_rsi=60,3,60,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=3_rsi=65,3,65,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
gap=3_rsi=70,3,70,104750,1746,56.3,11,9,60,2,92700,-19400,0,-334400
