date,symbol,name,entryTime,entryType,entryPrice,exitTime,exitType,exitPrice,shares,profit,profitRate,exitReason
2026-05-28,7011,三菱重工業,13:01,short,3790,13:35,cover,3779,300,3300,0.0029,"空売り買い戻し: ゴールデンクロス (MA5:3778.2 > MA25:3778.2)"
2026-05-28,3778,さくらインターネット,13:06,short,2938,13:35,cover,2932,500,3000,0.0020,"空売り買い戻し: ゴールデンクロス (MA5:2928.6 > MA25:2927.4)"
2026-05-28,3778,さくらインターネット,14:01,short,2920,14:04,cover,2935,500,-7500,-0.0051,"空売り買い戻し: ゴールデンクロス (MA5:2924.0 > MA25:2922.6)"
2026-05-28,3778,さくらインターネット,15:02,buy,2965,15:24,sell,2971,400,2400,0.0020,"引け値強制決済(ロング) (入荷:2965.0→引け:2971.0)"
2026-05-28,6981,村田製作所,10:34,buy,8557,12:30,sell,8758,100,20100,0.0235,"トレイリング利確 (ピーク:8899.0から0.5%下落) (入荷:8557.0→現在:8758.0)"
2026-05-28,6976,太陽誘電,10:25,buy,13035,10:25,sell,13035,100,0,0.0000,"RSI買われすぎ+BB上限 (RSI:73.8, BB上:13019.7)"
2026-05-28,3436,SUMCO,10:14,buy,3262,11:08,sell,3436,400,69600,0.0533,"トレイリング利確 (ピーク:3492.0から0.5%下落) (入荷:3262.0→現在:3436.0)"
2026-05-28,3436,SUMCO,15:04,buy,3336,15:24,sell,3350,400,5600,0.0042,"引け値強制決済(ロング) (入荷:3336.0→引け:3350.0)"
2026-05-29,7011,三菱重工業,14:01,buy,3805,14:21,sell,3818,300,3900,0.0034,"RSI買われすぎ+BB上限 (RSI:72.1, BB上:3812.9)"
2026-05-29,3778,さくらインターネット,14:18,buy,3020,14:38,sell,3030,400,4000,0.0033,"RSI買われすぎ+BB上限 (RSI:70.2, BB上:3028.9)"
2026-05-29,6981,村田製作所,15:23,buy,9862,15:24,sell,9922,100,6000,0.0061,"引け値強制決済(ロング) (入荷:9862.0→引け:9922.0)"
2026-06-01,8306,三菱UFJ FG,14:44,buy,3023,14:49,sell,3027,400,1600,0.0013,"RSI買われすぎ+BB上限 (RSI:73.2, BB上:3026.1)"
2026-06-01,8306,三菱UFJ FG,15:07,buy,3026,15:24,sell,3019,400,-2800,-0.0023,"引け値強制決済(ロング) (入荷:3026.0→引け:3019.0)"
2026-06-01,7011,三菱重工業,15:06,buy,3633,15:15,sell,3642,400,3600,0.0025,"RSI買われすぎ+BB上限 (RSI:71.1, BB上:3638.2)"
2026-06-02,8306,三菱UFJ FG,11:12,short,3015,11:20,cover,3020,400,-2000,-0.0017,"空売り買い戻し: ゴールデンクロス (MA5:3018.2 > MA25:3018.1)"
2026-06-02,7011,三菱重工業,11:04,short,3418,11:10,cover,3429,400,-4400,-0.0032,"空売り買い戻し: ゴールデンクロス (MA5:3423.2 > MA25:3423.2)"
2026-06-02,7011,三菱重工業,11:30,short,3422,12:30,cover,3430,400,-3200,-0.0023,"空売り買い戻し: ゴールデンクロス (MA5:3424.4 > MA25:3424.3)"
2026-06-02,3436,SUMCO,10:59,short,4053,11:10,cover,4055,300,-600,-0.0005,"空売り同値損切り (建値ストップ) (エントリー:4053.0 → 4055.0)"
2026-06-02,6758,ソニーグループ,13:13,short,3597,13:24,cover,3616,400,-7600,-0.0053,"空売り買い戻し: ゴールデンクロス (MA5:3610.0 > MA25:3608.2)"
2026-06-03,7011,三菱重工業,10:49,buy,3594,12:47,sell,3615,400,8400,0.0058,"トレイリング利確 (ピーク:3636.0から0.5%下落) (入荷:3594.0→現在:3615.0)"
2026-06-03,7011,三菱重工業,14:41,buy,3605,15:12,sell,3593,400,-4800,-0.0033,"引け値強制決済(ロング) (入荷:3605.0→引け:3593.0)"
2026-06-03,3436,SUMCO,10:13,buy,4469,11:08,sell,4497,300,8400,0.0063,"トレイリング利確 (ピーク:4538.0から0.5%下落) (入荷:4469.0→現在:4497.0)"
2026-06-03,6758,ソニーグループ,10:00,buy,3643,12:45,sell,3645,400,800,0.0005,"RSI買われすぎ+BB上限 (RSI:71.5, BB上:3643.0)"
