symbol,name,profit,win,loss,trades,winRate
3436,SUMCO,-17800,0,2,2,0.000
3778,さくらインターネット,-11000,1,3,4,0.250
7011,三菱重工業,-6600,0,2,2,0.000
8306,三菱UFJ FG,-2650,2,4,6,0.333
6758,ソニーグループ,-500,1,1,2,0.500
6526,ソシオネクスト,0,0,0,0,0.000
6920,レーザーテック,0,0,0,0,0.000
6857,アドバンテスト,0,0,0,0,0.000
9107,川崎汽船,0,0,0,0,0.000
9984,ソフトバンクグループ,0,0,0,0,0.000
8035,東京エレクトロン,0,0,0,0,0.000
4568,第一三共,0,0,0,0,0.000
5803,フジクラ,0,0,0,0,0.000
5016,JX金属,0,0,0,0,0.000
8316,三井住友FG,0,0,0,0,0.000
6723,ルネサスエレクトロニクス,0,0,0,0,0.000
7203,トヨタ自動車,0,0,0,0,0.000
285A,キオクシアHD,0,0,0,0,0.000
6981,村田製作所,11800,2,3,5,0.400
6976,太陽誘電,14600,3,2,5,0.600
