date,marketEfficiency,rangeBoundDay,totalProfit,winCount,lossCount,winRate
2026-05-07,0.526,false,0,0,0,0.000
2026-05-08,0.538,false,1800,1,0,1.000
2026-05-11,0.540,false,0,0,0,0.000
2026-05-12,0.355,false,7400,1,1,0.500
2026-05-13,0.528,false,-900,0,1,0.000
2026-05-14,0.513,false,-2500,2,3,0.400
2026-05-15,0.593,false,26250,3,4,0.429
2026-05-18,0.442,false,0,0,0,0.000
2026-05-19,0.664,false,-7800,0,1,0.000
2026-05-20,0.352,false,-4000,2,2,0.500
2026-05-21,0.502,false,0,0,0,0.000
2026-05-22,0.463,false,0,0,0,0.000
2026-05-25,0.545,false,0,0,0,0.000
2026-05-26,0.414,false,-8000,0,1,0.000
2026-05-27,0.630,false,0,0,0,0.000
2026-05-28,0.378,false,-13000,0,1,0.000
2026-05-29,0.492,false,-9400,0,2,0.000
2026-06-01,0.595,false,0,0,0,0.000
2026-06-02,0.341,false,-2000,0,1,0.000
2026-06-03,0.432,false,0,0,0,0.000
